"rt","responses","WhichChunk","WhichTrial","trial_type","trial_index","trial_index_global","time_elapsed","internal_chunk_id","experiment","ExpStartTime","Age","SubjID","view_history","url","BlockNum","itemID","operation","equation_side","correct_form","key_press"
"1565","{""Q0"":"""",""Q1"":""""}","intro","demographic","survey-text","0","0","1570","0-0.0-0","SNARC-GM1","1440456084707","","","","","","","","","",""
"2094","","intro","instructions","instructions","0","1","4667","0-0.0-0","SNARC-GM1","1440456084707","","","[{""page_index"":0,""viewing_time"":1703},{""page_index"":1,""viewing_time"":391}]","","","","","","",""
"743","","experimental-trial","fixation","html","0","2","6421","0-0.1-0","SNARC-GM1","1440456084707","","","","fixation.html","1","","","","",""
"4862","","experimental-trial","equation","html","0","3","11471","0-0.1-0","SNARC-GM1","1440456084707","","","","single-gm-equation.html","1","65","+","left","x=-6",""
"968","","","rest","instructions","0","4","12450","0-0","SNARC-GM1","1440456084707","","","[{""page_index"":0,""viewing_time"":968}]","","","","","","",""
"941","","experimental-trial","fixation","html","0","5","14399","0-0.3-0","SNARC-GM1","1440456084707","","","","fixation.html","2","","","","",""
"44496","","experimental-trial","equation","html","0","6","59070","0-0.3-0","SNARC-GM1","1440456084707","","","","single-gm-equation.html","2","119","-","left","x=7",""
"1222","","","rest","instructions","0","7","60303","0-0","SNARC-GM1","1440456084707","","","[{""page_index"":0,""viewing_time"":1222}]","","","","","","",""
"1165","","experimental-trial","fixation","html","0","8","62475","0-0.5-0","SNARC-GM1","1440456084707","","","","fixation.html","3","","","","",""
"32002","","experimental-trial","equation","html","0","9","94652","0-0.5-0","SNARC-GM1","1440456084707","","","","single-gm-equation.html","3","93","-","left","x=5",""
"1704","","","rest","instructions","0","10","96387","0-0","SNARC-GM1","1440456084707","","","[{""page_index"":0,""viewing_time"":1704}]","","","","","","",""
"1928","","experimental-trial","fixation","html","0","11","99323","0-0.7-0","SNARC-GM1","1440456084707","","","","fixation.html","4","","","","",""
"10200","","experimental-trial","equation","html","0","12","109704","0-0.7-0","SNARC-GM1","1440456084707","","","","single-gm-equation.html","4","122","-","left","x=10",""
"5847","","debrief","average-RT","text","0","13","115563","0-0.8-0","SNARC-GM1","1440456084707","","","","","","","","","","32"
